DEBUG: part no. 440, x 0, y 10
DEBUG: part no. 320, x 79, y 59
DEBUG: part no. 261, x 79, y 94
DEBUG: part no. 897, x 79, y 116
DEBUG: part no. 249, x 80, y 31
DEBUG: part no. 389, x 80, y 54
DEBUG: part no. 416, x 80, y 69
DEBUG: part no. 962, x 80, y 107
DEBUG: part no. 928, x 80, y 121
DEBUG: part no. 310, x 80, y 125
DEBUG: part no. 33, x 81, y 17
DEBUG: part no. 727, x 81, y 36
DEBUG: part no. 346, x 81, y 42
DEBUG: part no. 850, x 81, y 46
DEBUG: part no. 845, x 81, y 60
DEBUG: part no. 695, x 81, y 78
DEBUG: part no. 388, x 81, y 82
DEBUG: part no. 690, x 81, y 88
DEBUG: part no. 834, x 81, y 93
DEBUG: part no. 471, x 81, y 101
DEBUG: part no. 746, x 81, y 129
DEBUG: part no. 882, x 81, y 137
DEBUG: part no. 576, x 82, y 6
DEBUG: part no. 824, x 82, y 24
DEBUG: part no. 491, x 82, y 32
DEBUG: part no. 464, x 82, y 53
DEBUG: part no. 173, x 82, y 67
DEBUG: part no. 514, x 82, y 106
DEBUG: part no. 27, x 82, y 113
DEBUG: part no. 965, x 82, y 117
DEBUG: part no. 939, x 82, y 133
DEBUG: part no. 832, x 83, y 49
DEBUG: part no. 515, x 83, y 62
DEBUG: part no. 337, x 83, y 71
DEBUG: part no. 215, x 83, y 84
DEBUG: part no. 640, x 83, y 89
DEBUG: part no. 985, x 83, y 100
DEBUG: part no. 343, x 84, y 20
DEBUG: part no. 586, x 84, y 25
DEBUG: part no. 569, x 84, y 55
DEBUG: part no. 618, x 84, y 76
DEBUG: part no. 368, x 84, y 108
DEBUG: part no. 188, x 84, y 129
DEBUG: part no. 815, x 84, y 137
DEBUG: part no. 721, x 85, y 6
DEBUG: part no. 480, x 85, y 12
DEBUG: part no. 847, x 85, y 33
DEBUG: part no. 651, x 85, y 51
DEBUG: part no. 576, x 85, y 61
DEBUG: part no. 356, x 85, y 89
DEBUG: part no. 287, x 85, y 102
DEBUG: part no. 587, x 86, y 20
DEBUG: part no. 34, x 86, y 55
DEBUG: part no. 84, x 86, y 64
DEBUG: part no. 96, x 86, y 83
DEBUG: part no. 790, x 86, y 95
DEBUG: part no. 286, x 86, y 117
DEBUG: part no. 310, x 86, y 122
DEBUG: part no. 451, x 86, y 135
DEBUG: part no. 929, x 87, y 14
DEBUG: part no. 613, x 87, y 27
DEBUG: part no. 480, x 87, y 35
DEBUG: part no. 389, x 87, y 39
DEBUG: part no. 761, x 87, y 44
DEBUG: part no. 97, x 87, y 78
DEBUG: part no. 712, x 87, y 87
DEBUG: part no. 335, x 87, y 126
DEBUG: part no. 125, x 88, y 6
DEBUG: part no. 762, x 88, y 10
DEBUG: part no. 104, x 88, y 20
DEBUG: part no. 900, x 88, y 31
DEBUG: part no. 794, x 88, y 53
DEBUG: part no. 83, x 88, y 63
DEBUG: part no. 860, x 88, y 94
DEBUG: part no. 622, x 88, y 111
DEBUG: part no. 723, x 88, y 115
DEBUG: part no. 771, x 88, y 120
DEBUG: part no. 706, x 88, y 130
DEBUG: part no. 119, x 89, y 2
DEBUG: part no. 474, x 89, y 40
DEBUG: part no. 268, x 89, y 45
DEBUG: part no. 65, x 89, y 66
DEBUG: part no. 781, x 89, y 78
DEBUG: part no. 817, x 89, y 88
DEBUG: part no. 814, x 89, y 103
DEBUG: part no. 777, x 90, y 16
DEBUG: part no. 192, x 90, y 20
DEBUG: part no. 187, x 90, y 28
DEBUG: part no. 302, x 90, y 32
DEBUG: part no. 363, x 90, y 55
DEBUG: part no. 253, x 90, y 59
DEBUG: part no. 565, x 90, y 96
DEBUG: part no. 834, x 90, y 107
DEBUG: part no. 519, x 90, y 126
DEBUG: part no. 197, x 91, y 40
DEBUG: part no. 14, x 91, y 73
DEBUG: part no. 230, x 91, y 80
DEBUG: part no. 552, x 91, y 113
DEBUG: part no. 733, x 91, y 117
DEBUG: part no. 657, x 91, y 122
DEBUG: part no. 134, x 91, y 136
DEBUG: part no. 47, x 92, y 5
DEBUG: part no. 448, x 92, y 12
DEBUG: part no. 744, x 92, y 16
DEBUG: part no. 562, x 92, y 24
DEBUG: part no. 234, x 92, y 29
DEBUG: part no. 849, x 92, y 34
DEBUG: part no. 894, x 92, y 44
DEBUG: part no. 298, x 92, y 50
DEBUG: part no. 136, x 92, y 61
DEBUG: part no. 650, x 92, y 91
DEBUG: part no. 31, x 92, y 96
DEBUG: part no. 787, x 92, y 102
DEBUG: part no. 357, x 92, y 109
DEBUG: part no. 839, x 93, y 71
DEBUG: part no. 201, x 93, y 118
DEBUG: part no. 992, x 93, y 124
DEBUG: part no. 535, x 94, y 20
DEBUG: part no. 989, x 94, y 40
DEBUG: part no. 477, x 94, y 54
DEBUG: part no. 273, x 94, y 79
DEBUG: part no. 625, x 94, y 89
DEBUG: part no. 544, x 94, y 97
DEBUG: part no. 367, x 94, y 101
DEBUG: part no. 69, x 94, y 136
DEBUG: part no. 456, x 95, y 6
DEBUG: part no. 493, x 95, y 11
DEBUG: part no. 282, x 95, y 24
DEBUG: part no. 810, x 95, y 62
DEBUG: part no. 689, x 95, y 67
DEBUG: part no. 361, x 95, y 72
DEBUG: part no. 123, x 95, y 84
DEBUG: part no. 262, x 95, y 93
DEBUG: part no. 995, x 95, y 111
DEBUG: part no. 429, x 95, y 116
DEBUG: part no. 564, x 96, y 31
DEBUG: part no. 115, x 96, y 35
DEBUG: part no. 507, x 96, y 41
DEBUG: part no. 720, x 96, y 45
DEBUG: part no. 473, x 96, y 80
DEBUG: part no. 200, x 96, y 120
DEBUG: part no. 230, x 96, y 127
DEBUG: part no. 8, x 96, y 136
DEBUG: part no. 814, x 97, y 19
DEBUG: part no. 90, x 97, y 26
DEBUG: part no. 508, x 97, y 49
DEBUG: part no. 872, x 97, y 53
DEBUG: part no. 418, x 97, y 58
DEBUG: part no. 496, x 97, y 65
DEBUG: part no. 783, x 97, y 69
DEBUG: part no. 643, x 97, y 89
DEBUG: part no. 437, x 97, y 99
DEBUG: part no. 244, x 97, y 104
DEBUG: part no. 654, x 97, y 132
DEBUG: part no. 376, x 98, y 9
DEBUG: part no. 32, x 98, y 30
DEBUG: part no. 356, x 98, y 43
DEBUG: part no. 691, x 98, y 77
DEBUG: part no. 221, x 98, y 109
DEBUG: part no. 813, x 98, y 124
DEBUG: part no. 31, x 99, y 20
DEBUG: part no. 971, x 99, y 27
DEBUG: part no. 352, x 99, y 34
DEBUG: part no. 566, x 99, y 47
DEBUG: part no. 278, x 99, y 58
DEBUG: part no. 25, x 99, y 82
DEBUG: part no. 222, x 99, y 98
DEBUG: part no. 963, x 99, y 105
DEBUG: part no. 42, x 99, y 114
DEBUG: part no. 944, x 100, y 7
DEBUG: part no. 189, x 100, y 41
DEBUG: part no. 213, x 100, y 64
DEBUG: part no. 542, x 100, y 71
DEBUG: part no. 468, x 100, y 75
DEBUG: part no. 613, x 100, y 79
DEBUG: part no. 494, x 100, y 91
DEBUG: part no. 666, x 100, y 128
DEBUG: part no. 783, x 101, y 13
DEBUG: part no. 930, x 101, y 27
DEBUG: part no. 701, x 101, y 37
DEBUG: part no. 772, x 101, y 46
DEBUG: part no. 148, x 101, y 52
DEBUG: part no. 350, x 101, y 56
DEBUG: part no. 681, x 101, y 85
DEBUG: part no. 799, x 101, y 113
DEBUG: part no. 30, x 101, y 121
DEBUG: part no. 729, x 101, y 132
DEBUG: part no. 407, x 102, y 20
DEBUG: part no. 142, x 102, y 74
DEBUG: part no. 513, x 102, y 95
DEBUG: part no. 858, x 102, y 99
DEBUG: part no. 431, x 102, y 105
DEBUG: part no. 513, x 102, y 126
DEBUG: part no. 621, x 103, y 7
DEBUG: part no. 720, x 103, y 12
DEBUG: part no. 41, x 103, y 15
DEBUG: part no. 318, x 103, y 35
DEBUG: part no. 661, x 103, y 42
DEBUG: part no. 197, x 103, y 47
DEBUG: part no. 104, x 103, y 51
DEBUG: part no. 997, x 103, y 56
DEBUG: part no. 252, x 103, y 60
DEBUG: part no. 346, x 103, y 65
DEBUG: part no. 241, x 103, y 81
DEBUG: part no. 249, x 103, y 114
DEBUG: part no. 296, x 103, y 121
DEBUG: part no. 355, x 103, y 137
DEBUG: part no. 194, x 104, y 75
DEBUG: part no. 285, x 104, y 87
DEBUG: part no. 204, x 104, y 109
DEBUG: part no. 614, x 104, y 133
DEBUG: part no. 465, x 105, y 6
DEBUG: part no. 256, x 105, y 15
DEBUG: part no. 31, x 105, y 24
DEBUG: part no. 154, x 105, y 28
DEBUG: part no. 84, x 105, y 42
DEBUG: part no. 990, x 105, y 49
DEBUG: part no. 999, x 105, y 66
DEBUG: part no. 965, x 105, y 93
DEBUG: part no. 817, x 105, y 101
DEBUG: part no. 674, x 105, y 114
DEBUG: part no. 515, x 106, y 34
DEBUG: part no. 554, x 106, y 62
DEBUG: part no. 485, x 106, y 72
DEBUG: part no. 411, x 106, y 77
DEBUG: part no. 382, x 106, y 87
DEBUG: part no. 399, x 106, y 120
DEBUG: part no. 364, x 106, y 127
DEBUG: part no. 568, x 106, y 135
DEBUG: part no. 87, x 107, y 10
DEBUG: part no. 52, x 107, y 14
DEBUG: part no. 896, x 107, y 22
DEBUG: part no. 583, x 107, y 56
DEBUG: part no. 550, x 107, y 67
DEBUG: part no. 774, x 107, y 97
DEBUG: part no. 97, x 107, y 110
DEBUG: part no. 106, x 107, y 114
DEBUG: part no. 670, x 107, y 131
DEBUG: part no. 2, x 108, y 35
DEBUG: part no. 444, x 108, y 43
DEBUG: part no. 388, x 108, y 63
DEBUG: part no. 150, x 108, y 122
DEBUG: part no. 263, x 109, y 11
DEBUG: part no. 20, x 109, y 22
DEBUG: part no. 623, x 109, y 26
DEBUG: part no. 264, x 109, y 31
DEBUG: part no. 513, x 109, y 39
DEBUG: part no. 655, x 109, y 59
DEBUG: part no. 430, x 109, y 69
DEBUG: part no. 820, x 109, y 77
DEBUG: part no. 156, x 109, y 106
DEBUG: part no. 840, x 109, y 111
DEBUG: part no. 883, x 109, y 117
DEBUG: part no. 283, x 109, y 131
DEBUG: part no. 78, x 109, y 134
DEBUG: part no. 793, x 110, y 44
DEBUG: part no. 298, x 110, y 52
DEBUG: part no. 212, x 110, y 73
DEBUG: part no. 234, x 110, y 82
DEBUG: part no. 715, x 110, y 86
DEBUG: part no. 133, x 110, y 91
DEBUG: part no. 705, x 110, y 98
DEBUG: part no. 992, x 111, y 65
DEBUG: part no. 870, x 111, y 106
DEBUG: part no. 324, x 111, y 125
DEBUG: part no. 712, x 111, y 137
DEBUG: part no. 452, x 112, y 3
DEBUG: part no. 818, x 112, y 13
DEBUG: part no. 237, x 112, y 17
DEBUG: part no. 329, x 112, y 31
DEBUG: part no. 73, x 112, y 36
DEBUG: part no. 754, x 112, y 44
DEBUG: part no. 955, x 112, y 52
DEBUG: part no. 645, x 112, y 59
DEBUG: part no. 478, x 112, y 75
DEBUG: part no. 340, x 112, y 90
DEBUG: part no. 970, x 112, y 94
DEBUG: part no. 817, x 112, y 120
DEBUG: part no. 982, x 112, y 131
DEBUG: part no. 705, x 113, y 9
DEBUG: part no. 115, x 113, y 22
DEBUG: part no. 157, x 113, y 64
DEBUG: part no. 620, x 113, y 68
DEBUG: part no. 565, x 113, y 102
DEBUG: part no. 8, x 113, y 108
DEBUG: part no. 669, x 113, y 136
DEBUG: part no. 715, x 114, y 13
DEBUG: part no. 481, x 114, y 17
DEBUG: part no. 836, x 114, y 51
DEBUG: part no. 714, x 114, y 60
DEBUG: part no. 124, x 114, y 80
DEBUG: part no. 968, x 114, y 87
DEBUG: part no. 426, x 114, y 113
DEBUG: part no. 693, x 114, y 120
DEBUG: part no. 753, x 114, y 131
DEBUG: part no. 26, x 115, y 3
DEBUG: part no. 892, x 115, y 22
DEBUG: part no. 272, x 115, y 28
DEBUG: part no. 259, x 115, y 32
DEBUG: part no. 461, x 115, y 39
DEBUG: part no. 387, x 115, y 43
DEBUG: part no. 82, x 115, y 47
DEBUG: part no. 208, x 115, y 66
DEBUG: part no. 126, x 115, y 72
DEBUG: part no. 850, x 115, y 96
DEBUG: part no. 299, x 115, y 109
DEBUG: part no. 135, x 115, y 138
DEBUG: part no. 947, x 116, y 8
DEBUG: part no. 682, x 116, y 14
DEBUG: part no. 482, x 116, y 52
DEBUG: part no. 854, x 116, y 60
DEBUG: part no. 613, x 116, y 81
DEBUG: part no. 719, x 116, y 105
DEBUG: part no. 33, x 117, y 4
DEBUG: part no. 131, x 117, y 18
DEBUG: part no. 586, x 117, y 25
DEBUG: part no. 396, x 117, y 40
DEBUG: part no. 1, x 117, y 54
DEBUG: part no. 889, x 117, y 76
DEBUG: part no. 577, x 117, y 87
DEBUG: part no. 782, x 117, y 100
DEBUG: part no. 969, x 117, y 115
DEBUG: part no. 951, x 117, y 134
DEBUG: part no. 653, x 117, y 138
DEBUG: part no. 469, x 118, y 47
DEBUG: part no. 111, x 118, y 59
DEBUG: part no. 822, x 118, y 64
DEBUG: part no. 105, x 118, y 83
DEBUG: part no. 131, x 118, y 95
DEBUG: part no. 816, x 118, y 111
DEBUG: part no. 618, x 118, y 122
DEBUG: part no. 95, x 119, y 4
DEBUG: part no. 355, x 119, y 12
DEBUG: part no. 469, x 119, y 33
DEBUG: part no. 241, x 119, y 37
DEBUG: part no. 736, x 119, y 42
DEBUG: part no. 831, x 119, y 54
DEBUG: part no. 227, x 119, y 68
DEBUG: part no. 639, x 119, y 78
DEBUG: part no. 474, x 119, y 89
DEBUG: part no. 703, x 119, y 101
DEBUG: part no. 610, x 119, y 106
DEBUG: part no. 199, x 119, y 127
DEBUG: part no. 597, x 120, y 20
DEBUG: part no. 572, x 120, y 26
DEBUG: part no. 85, x 120, y 29
DEBUG: part no. 462, x 120, y 49
DEBUG: part no. 536, x 120, y 60
DEBUG: part no. 793, x 120, y 74
DEBUG: part no. 77, x 120, y 83
DEBUG: part no. 798, x 120, y 111
DEBUG: part no. 374, x 120, y 117
DEBUG: part no. 20, x 120, y 121
DEBUG: part no. 246, x 120, y 135
DEBUG: part no. 374, x 121, y 8
DEBUG: part no. 848, x 121, y 38
DEBUG: part no. 552, x 121, y 45
DEBUG: part no. 545, x 121, y 65
DEBUG: part no. 307, x 121, y 79
DEBUG: part no. 956, x 121, y 88
DEBUG: part no. 67, x 121, y 91
DEBUG: part no. 336, x 121, y 106
DEBUG: part no. 647, x 122, y 3
DEBUG: part no. 819, x 122, y 14
DEBUG: part no. 305, x 122, y 19
DEBUG: part no. 735, x 122, y 31
DEBUG: part no. 824, x 122, y 83
DEBUG: part no. 100, x 122, y 99
DEBUG: part no. 383, x 122, y 110
DEBUG: part no. 695, x 122, y 120
DEBUG: part no. 245, x 122, y 135
DEBUG: part no. 762, x 123, y 8
DEBUG: part no. 727, x 123, y 26
DEBUG: part no. 373, x 123, y 35
DEBUG: part no. 241, x 123, y 47
DEBUG: part no. 656, x 123, y 51
DEBUG: part no. 581, x 123, y 57
DEBUG: part no. 842, x 123, y 62
DEBUG: part no. 910, x 123, y 66
DEBUG: part no. 672, x 123, y 88
DEBUG: part no. 229, x 123, y 93
DEBUG: part no. 869, x 123, y 115
DEBUG: part no. 249, x 123, y 130
DEBUG: part no. 563, x 124, y 22
DEBUG: part no. 899, x 124, y 31
DEBUG: part no. 406, x 124, y 43
DEBUG: part no. 12, x 124, y 72
DEBUG: part no. 78, x 124, y 96
DEBUG: part no. 614, x 124, y 101
DEBUG: part no. 166, x 124, y 111
DEBUG: part no. 92, x 124, y 124
DEBUG: part no. 787, x 124, y 138
DEBUG: part no. 558, x 125, y 11
DEBUG: part no. 282, x 125, y 18
DEBUG: part no. 763, x 125, y 47
DEBUG: part no. 313, x 125, y 53
DEBUG: part no. 999, x 125, y 61
DEBUG: part no. 807, x 125, y 69
DEBUG: part no. 489, x 125, y 92
DEBUG: part no. 261, x 125, y 115
DEBUG: part no. 130, x 125, y 129
DEBUG: part no. 356, x 126, y 7
DEBUG: part no. 325, x 126, y 23
DEBUG: part no. 265, x 126, y 31
DEBUG: part no. 740, x 126, y 36
DEBUG: part no. 923, x 126, y 42
DEBUG: part no. 120, x 126, y 81
DEBUG: part no. 456, x 126, y 87
DEBUG: part no. 102, x 126, y 102
DEBUG: part no. 791, x 126, y 110
DEBUG: part no. 141, x 126, y 120
DEBUG: part no. 666, x 126, y 133
DEBUG: part no. 65, x 126, y 136
DEBUG: part no. 870, x 127, y 12
DEBUG: part no. 431, x 127, y 27
DEBUG: part no. 631, x 127, y 47
DEBUG: part no. 212, x 127, y 53
DEBUG: part no. 957, x 127, y 68
DEBUG: part no. 124, x 127, y 73
DEBUG: part no. 558, x 127, y 92
DEBUG: part no. 946, x 127, y 97
DEBUG: part no. 763, x 127, y 115
DEBUG: part no. 903, x 127, y 124
DEBUG: part no. 437, x 128, y 6
DEBUG: part no. 412, x 128, y 23
DEBUG: part no. 29, x 128, y 39
DEBUG: part no. 539, x 128, y 62
DEBUG: part no. 703, x 128, y 80
DEBUG: part no. 844, x 128, y 103
DEBUG: part no. 345, x 129, y 11
DEBUG: part no. 177, x 129, y 30
DEBUG: part no. 609, x 129, y 51
DEBUG: part no. 398, x 129, y 56
DEBUG: part no. 138, x 129, y 87
DEBUG: part no. 185, x 129, y 91
DEBUG: part no. 193, x 129, y 126
DEBUG: part no. 929, x 129, y 135
DEBUG: part no. 950, x 130, y 25
DEBUG: part no. 489, x 130, y 43
DEBUG: part no. 119, x 130, y 60
DEBUG: part no. 909, x 130, y 68
DEBUG: part no. 522, x 130, y 72
DEBUG: part no. 928, x 130, y 97
DEBUG: part no. 331, x 130, y 101
DEBUG: part no. 18, x 130, y 106
DEBUG: part no. 799, x 130, y 110
DEBUG: part no. 914, x 130, y 119
DEBUG: part no. 422, x 131, y 6
DEBUG: part no. 304, x 131, y 14
DEBUG: part no. 753, x 131, y 21
DEBUG: part no. 751, x 131, y 50
DEBUG: part no. 144, x 131, y 82
DEBUG: part no. 53, x 131, y 89
DEBUG: part no. 878, x 131, y 93
DEBUG: part no. 579, x 131, y 115
DEBUG: part no. 658, x 131, y 133
DEBUG: part no. 618, x 132, y 25
DEBUG: part no. 344, x 132, y 57
DEBUG: part no. 91, x 132, y 60
DEBUG: part no. 533, x 132, y 71
DEBUG: part no. 439, x 132, y 86
DEBUG: part no. 556, x 132, y 100
DEBUG: part no. 275, x 133, y 11
DEBUG: part no. 12, x 133, y 47
DEBUG: part no. 764, x 133, y 67
DEBUG: part no. 710, x 133, y 108
DEBUG: part no. 609, x 133, y 113
DEBUG: part no. 902, x 133, y 120
DEBUG: part no. 80, x 133, y 130
DEBUG: part no. 753, x 133, y 134
DEBUG: part no. 738, x 134, y 16
DEBUG: part no. 5, x 134, y 23
DEBUG: part no. 595, x 134, y 60
DEBUG: part no. 976, x 134, y 73
DEBUG: part no. 887, x 134, y 78
DEBUG: part no. 468, x 134, y 88
DEBUG: part no. 114, x 134, y 100
DEBUG: part no. 484, x 134, y 126
DEBUG: part no. 495, x 135, y 2
DEBUG: part no. 804, x 135, y 12
DEBUG: part no. 988, x 135, y 36
DEBUG: part no. 411, x 135, y 46
DEBUG: part no. 86, x 135, y 92
DEBUG: part no. 631, x 135, y 122
DEBUG: part no. 458, x 136, y 19
DEBUG: part no. 927, x 136, y 31
DEBUG: part no. 514, x 136, y 40
DEBUG: part no. 933, x 136, y 56
DEBUG: part no. 192, x 136, y 68
DEBUG: part no. 850, x 136, y 72
DEBUG: part no. 85, x 136, y 75
DEBUG: part no. 858, x 136, y 84
DEBUG: part no. 209, x 136, y 89
DEBUG: part no. 379, x 136, y 104
DEBUG: part no. 462, x 136, y 113
DEBUG: part no. 139, x 136, y 128
DEBUG: part no. 70, x 136, y 134
DEBUG: part no. 107, x 137, y 27
DEBUG: part no. 229, x 137, y 36
DEBUG: part no. 896, x 137, y 79
DEBUG: part no. 991, x 138, y 10
DEBUG: part no. 272, x 138, y 15
DEBUG: part no. 575, x 138, y 23
DEBUG: part no. 958, x 138, y 59
DEBUG: part no. 917, x 138, y 73
DEBUG: part no. 94, x 138, y 101
DEBUG: part no. 985, x 138, y 109
DEBUG: part no. 587, x 138, y 116
DEBUG: part no. 184, x 138, y 122
DEBUG: part no. 657, x 139, y 49
DEBUG: part no. 423, x 139, y 78
DEBUG: part no. 742, x 139, y 91
DEBUG: part no. 367, x 139, y 95
DEBUG: part no. 634, x 139, y 129
DEBUG: width 140, height 140
Result: 530105
